word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
clivosus,clivosa,clivosum,clivosior,clivosissimus,clivose,12,clivos
colubrifer,colubrifera,colubriferum,colubriferior,colubriferrimus,colubrifere,12,colubrifer
clitellarius,clitellaria,clitellarium,clitellariior,clitellariissimus,clitellarie,12,clitellari
commemorabilis,commemorabilis,commemorabile,commemorabilior,commemorabilissimus,commemorabiliter,3,commemorabil
commutabilis,commutabilis,commutabile,commutabilior,commutabilissimus,commutabiliter,3,commutabil
compendiarius,compendiaria,compendiarium,compendiariior,compendiariissimus,compendiarie,12,compendiari
compascuus,compascua,compascuum,compascuior,compascuissimus,compascue,12,compascu
concertatorius,concertatoria,concertatorium,concertatoriior,concertatoriissimus,concertatorie,12,concertatori
impacatus,impacata,impacatum,impacatior,impacatissimus,impacate,12,impacat
fumeus,fumea,fumeum,fumeior,fumeissimus,fumee,12,fume
confatalis,confatalis,confatale,confatalior,confatalissimus,confataliter,3,confatal
congesticius,congesticia,congesticium,congesticiior,congesticiissimus,congesticie,12,congestici
contionalis,contionalis,contionale,contionalior,contionalissimus,contionaliter,3,contional
congregabilis,congregabilis,congregabile,congregabilior,congregabilissimus,congregabiliter,3,congregabil
contionarius,contionaria,contionarium,contionariior,contionariissimus,contionarie,12,contionari
conterminus,contermina,conterminum,conterminior,conterminissimus,contermine,12,contermin
conubialis,conubialis,conubiale,conubialior,conubialissimus,conubialiter,3,conubial
controversiosus,controversiosa,controversiosum,controversiosior,controversiosissimus,controversiose,12,controversios
conventicius,conventicia,conventicium,conventiciior,conventiciissimus,conventicie,12,conventici
cothurnatus,cothurnata,cothurnatum,cothurnatius,cothurnatissimus,cothurnate,12,cothurnat
crinalis,crinalis,crinale,crinalior,crinalissimus,crinaliter,3,crinal
cretatus,cretata,cretatum,cretatior,cretatissimus,cretate,12,cretat
cretosus,cretosa,cretosum,cretosior,cretosissimus,cretose,12,cretos
cyclicus,cyclica,cyclicum,cyclicior,cyclicissimus,cyclice,12,cyclic
commendatitius,commendatitia,commendatitium,commendatitiior,commendatitiissimus,commendatitie,12,commendatiti
antefixus,antefixa,antefixum,antefixior,antefixissimus,antefixe,12,antefix
curialis,curialis,curiale,curialior,curialissimus,curialiter,3,curial
cetarius,cetaria,cetarium,cetariior,cetariissimus,cetarie,12,cetari
medicamentarius,medicamentaria,medicamentarium,medicamentariior,medicamentariissimus,medicamentarie,12,medicamentari
dedecorus,dedecora,dedecorum,dedecorior,dedecorissimus,dedecore,12,dedecor
defrenatus,defrenata,defrenatum,defrenatior,defrenatissimus,defrenate,12,defrenat
declamatorius,declamatoria,declamatorium,declamatoriior,declamatoriissimus,declamatorie,12,declamatori
delumbis,delumbis,delumbe,delumbior,delumbissimus,delumbiter,3,delumb
deridiculus,deridicula,deridiculum,deridiculior,deridiculissimus,deridicule,12,deridicul
derosus,derosa,derosum,derosior,derosissimus,derose,12,deros
deruptus,derupta,deruptum,deruptior,deruptissimus,derupte,12,derupt
dibaphus,dibapha,dibaphum,dibaphior,dibaphissimus,dibaphe,12,dibaph
differtus,differta,differtum,differtior,differtissimus,differte,12,differt
discordiosus,discordiosa,discordiosum,discordiosior,discordiosissimus,discordiose,12,discordios
dissentaneus,dissentanea,dissentaneum,dissentaneior,dissentaneissimus,dissentanee,12,dissentane
dissors,dissors,dissors,dissortior,dissortissimus,dissortiter,3,dissort
dissolubilis,dissolubilis,dissolubile,dissolubilius,dissolubilissimus,dissolubiliter,3,dissolubil
domabilis,domabilis,domabile,domabilior,domabilissimus,domabiliter,3,domabil
dotalis,dotalis,dotale,dotalior,dotalissimus,dotaliter,3,dotal
duodequadragesimus,duodequadragesima,duodequadragesimum,duodequadragesimior,duodequadragesimissimus,duodequadragesime,12,duodequadragesim
morbosus,morbosa,morbosum,morbosior,morbosissimus,morbose,12,morbos
effrenus,effrena,effrenum,effrenior,effrenissimus,effrene,12,effren
efferus,effera,efferum,efferior,efferissimus,effere,12,effer
effultus,effulta,effultum,effultior,effultissimus,effulte,12,effult
emendabilis,emendabilis,emendabile,emendabilior,emendabilissimus,emendabiliter,3,emendabil
enarrabilis,enarrabilis,enarrabile,enarrabilior,enarrabilissimus,enarrabiliter,3,enarrabil
enervis,enervis,enerve,enervior,enervissimus,enerviter,3,enerv
